Tanggal & Waktu,ID Struk,Status Pembayaran,ID / Kode Outlet,Outlet,Tipe Penjualan,Kasir,No. Hp Pelanggan,Nama Pelanggan,SKU,Nama Produk,Kategori,Jumlah Produk,Harga Produk,Penjualan Kotor,Diskon Produk,Subtotal,Diskon Transaksi,Service Charge,Pajak,Pembulatan,Poin Ditukar,Biaya Admin,Total,Metode Pembayaran,Fee,Pembayaran,Alasan Pembatalan,Catatan Transaksi,Catatan Custom Amount,Pawoon Order No.,Grab Food No.,Partner Reff. Number,Partner Trace No & RRN,Issuer Name,Paid By,Kode Voucher
01-12-2025 10:06:20,H1LC1XI3433U,Success,OT-374335,AYAM SERAYU - CABANG 2,Dine in,Rina,,,FOOD006,Ayam Bakar Madu - Paha,Makanan,1,"31,000","31,000",0,"31,000",0,0,0,0,0,0,"114,000",Tunai,0,"114,000",,,,PWN-H1LC1X,,,,,,
01-12-2025 10:07:05,Z6PVVXP5Y16D,Success,OT-374334,AYAM SERAYU - CABANG 1,Dine in,Budi,,,SNACK01,Kulit Ayam Cabe Garam,Makanan,1,"19,000","19,000",0,"19,000",0,0,0,0,0,0,"53,000",Qris Gopay,0,"53,000",,,,PWN-Z6PVVX,,,,,,
01-12-2025 10:07:05,Z6PVVXP5Y16D,Success,OT-374334,AYAM SERAYU - CABANG 1,Dine in,Budi,,,SNACK02,Usus Goreng Crispy,Makanan,1,"19,000","19,000",0,"19,000",0,0,0,0,0,0,"53,000",Qris Gopay,0,"53,000",,,,PWN-Z6PVVX,,,,,,
01-12-2025 10:07:05,Z6PVVXP5Y16D,Success,OT-374334,AYAM SERAYU - CABANG 1,Dine in,Budi,,,SNACK03,Jamur Enoki Crispy,Makanan,1,"15,000","15,000",0,"15,000",0,0,0,0,0,0,"53,000",Qris Gopay,0,"53,000",,,,PWN-Z6PVVX,,,,,,
01-12-2025 10:08:28,04VE6BYH9DO2,Success,OT-374334,AYAM SERAYU - CABANG 1,Dine in,Nabila,,,DRINK03,Es Jeruk Peras,Minuman,3,"10,000","30,000",0,"30,000",0,0,0,0,0,0,"70,000",Debit BCA,0,"70,000",,,,PWN-04VE6B,,,,,,
01-12-2025 10:08:28,04VE6BYH9DO2,Success,OT-374334,AYAM SERAYU - CABANG 1,Dine in,Nabila,,,FOOD003,Ayam Goreng Kremes - Dada,Makanan,1,"30,000","30,000",0,"30,000",0,0,0,0,0,0,"70,000",Debit BCA,0,"70,000",,,,PWN-04VE6B,,,,,,
01-12-2025 10:08:28,04VE6BYH9DO2,Success,OT-374334,AYAM SERAYU - CABANG 1,Dine in,Nabila,,,DRINK04,Jeruk Panas,Minuman,1,"10,000","10,000",0,"10,000",0,0,0,0,0,0,"70,000",Debit BCA,0,"70,000",,,,PWN-04VE6B,,,,,,
01-12-2025 10:09:50,ICLWFOK2YG0B,Success,OT-374334,AYAM SERAYU - CABANG 1,Online Delivery,Siti,,,FOOD001,Ayam Goreng Serayu - Dada,Makanan,1,"29,000","29,000",0,"29,000",0,0,0,0,0,0,"29,000",Qris Gopay,0,"29,000",,,,PWN-ICLWFO,GRB-1455,,,,,
01-12-2025 10:11:32,YYZVDGXIGB3J,Success,OT-374335,AYAM SERAYU - CABANG 2,Online Delivery,Siti,,Cust_244,SNACK03,Jamur Enoki Crispy,Makanan,1,"15,000","15,000",0,"15,000",0,0,0,0,0,0,"93,000",Qris ShopeePay,0,"93,000",,,,PWN-YYZVDG,GRB-8333,,,,,
01-12-2025 10:11:32,YYZVDGXIGB3J,Success,OT-374335,AYAM SERAYU - CABANG 2,Online Delivery,Siti,,Cust_244,DRINK02,Teh Manis Panas,Minuman,1,"6,000","6,000",0,"6,000",0,0,0,0,0,0,"93,000",Qris ShopeePay,0,"93,000",,,,PWN-YYZVDG,GRB-2908,,,,,
01-12-2025 10:11:32,YYZVDGXIGB3J,Success,OT-374335,AYAM SERAYU - CABANG 2,Online Delivery,Siti,,Cust_244,SNACK06,Cah Kangkung Terasi,Makanan,1,"12,000","12,000",0,"12,000",0,0,0,0,0,0,"93,000",Qris ShopeePay,0,"93,000",,,,PWN-YYZVDG,GRB-1136,,,,,
01-12-2025 10:11:32,YYZVDGXIGB3J,Success,OT-374335,AYAM SERAYU - CABANG 2,Online Delivery,Siti,,Cust_244,SNACK02,Usus Goreng Crispy,Makanan,1,"19,000","19,000",0,"19,000",0,0,0,0,0,0,"93,000",Qris ShopeePay,0,"93,000",,,,PWN-YYZVDG,GRB-1357,,,,,
01-12-2025 10:11:32,YYZVDGXIGB3J,Success,OT-374335,AYAM SERAYU - CABANG 2,Online Delivery,Siti,,Cust_244,DRINK01,Es Teh Manis,Minuman,3,"6,000","18,000",0,"18,000",0,0,0,0,0,0,"93,000",Qris ShopeePay,0,"93,000",,,,PWN-YYZVDG,GRB-1093,,,,,
01-12-2025 10:11:32,YYZVDGXIGB3J,Success,OT-374335,AYAM SERAYU - CABANG 2,Online Delivery,Siti,,Cust_244,SNACK04,Tahu Goreng,Makanan,2,"3,000","6,000",0,"6,000",0,0,0,0,0,0,"93,000",Qris ShopeePay,0,"93,000",,,,PWN-YYZVDG,GRB-8162,,,,,
01-12-2025 10:11:32,YYZVDGXIGB3J,Success,OT-374335,AYAM SERAYU - CABANG 2,Online Delivery,Siti,,Cust_244,SNACK07,Tumis Toge Ikan Asin,Makanan,1,"13,000","13,000",0,"13,000",0,0,0,0,0,0,"93,000",Qris ShopeePay,0,"93,000",,,,PWN-YYZVDG,GRB-5944,,,,,
01-12-2025 10:11:32,YYZVDGXIGB3J,Success,OT-374335,AYAM SERAYU - CABANG 2,Online Delivery,Siti,,Cust_244,SNACK09,Kerupuk Putih,Makanan,2,"2,000","4,000",0,"4,000",0,0,0,0,0,0,"93,000",Qris ShopeePay,0,"93,000",,,,PWN-YYZVDG,GRB-7413,,,,,
01-12-2025 10:12:02,GVM6FE3G5X9C,Success,OT-374335,AYAM SERAYU - CABANG 2,Dine in,Fikri,,,FOOD001,Ayam Goreng Serayu - Dada,Makanan,1,"29,000","29,000",0,"29,000",0,0,0,0,0,0,"29,000",Qris Gopay,0,"29,000",,,,PWN-GVM6FE,,,,,,
01-12-2025 10:14:09,2RLRHIHNWOWS,Success,OT-374335,AYAM SERAYU - CABANG 2,Online Delivery,Rina,,Cust_715,DRINK09,Kopi Hitam,Minuman,1,"8,000","8,000",0,"8,000",0,0,0,0,0,0,"26,000",Tunai,0,"26,000",,,,PWN-2RLRHI,GRB-8425,,,,,
01-12-2025 10:14:09,2RLRHIHNWOWS,Success,OT-374335,AYAM SERAYU - CABANG 2,Online Delivery,Rina,,Cust_715,DRINK10,Es Kopi Susu,Minuman,1,"12,000","12,000",0,"12,000",0,0,0,0,0,0,"26,000",Tunai,0,"26,000",,,,PWN-2RLRHI,GRB-6294,,,,,
01-12-2025 10:14:09,2RLRHIHNWOWS,Success,OT-374335,AYAM SERAYU - CABANG 2,Online Delivery,Rina,,Cust_715,DRINK02,Teh Manis Panas,Minuman,1,"6,000","6,000",0,"6,000",0,0,0,0,0,0,"26,000",Tunai,0,"26,000",,,,PWN-2RLRHI,GRB-1913,,,,,
01-12-2025 10:19:17,6YGDKMMSJCJA,Success,OT-374334,AYAM SERAYU - CABANG 1,Take Away,Fikri,,,FOOD001,Ayam Goreng Serayu - Dada,Makanan,3,"29,000","87,000",0,"87,000",0,0,0,0,0,0,"225,000",Tunai,0,"225,000",,,,PWN-6YGDKM,,,,,,
01-12-2025 10:19:17,6YGDKMMSJCJA,Success,OT-374334,AYAM SERAYU - CABANG 1,Take Away,Fikri,,,FOOD008,Bebek Goreng - Paha,Makanan,1,"35,000","35,000",0,"35,000",0,0,0,0,0,0,"225,000",Tunai,0,"225,000",,,,PWN-6YGDKM,,,,,,
01-12-2025 10:19:17,6YGDKMMSJCJA,Success,OT-374334,AYAM SERAYU - CABANG 1,Take Away,Fikri,,,FOOD010,Nila Goreng Terbang,Makanan,1,"25,000","25,000",0,"25,000",0,0,0,0,0,0,"225,000",Tunai,0,"225,000",,,,PWN-6YGDKM,,,,,,
01-12-2025 10:19:17,6YGDKMMSJCJA,Success,OT-374334,AYAM SERAYU - CABANG 1,Take Away,Fikri,,,FOOD009,Lele Goreng Crispy,Makanan,1,"20,000","20,000",0,"20,000",0,0,0,0,0,0,"225,000",Tunai,0,"225,000",,,,PWN-6YGDKM,,,,,,
01-12-2025 10:19:17,6YGDKMMSJCJA,Success,OT-374334,AYAM SERAYU - CABANG 1,Take Away,Fikri,,,FOOD005,Ayam Bakar Madu - Dada,Makanan,1,"31,000","31,000",0,"31,000",0,0,0,0,0,0,"225,000",Tunai,0,"225,000",,,,PWN-6YGDKM,,,,,,
01-12-2025 10:19:17,6YGDKMMSJCJA,Success,OT-374334,AYAM SERAYU - CABANG 1,Take Away,Fikri,,,DRINK01,Es Teh Manis,Minuman,2,"6,000","12,000",0,"12,000",0,0,0,0,0,0,"225,000",Tunai,0,"225,000",,,,PWN-6YGDKM,,,,,,
01-12-2025 10:19:17,6YGDKMMSJCJA,Success,OT-374334,AYAM SERAYU - CABANG 1,Take Away,Fikri,,,DRINK07,Jus Alpukat,Minuman,1,"15,000","15,000",0,"15,000",0,0,0,0,0,0,"225,000",Tunai,0,"225,000",,,,PWN-6YGDKM,,,,,,
01-12-2025 10:19:26,847393KMUYQL,Success,OT-374334,AYAM SERAYU - CABANG 1,Dine in,Fikri,,,DRINK08,Es Campur Serayu,Minuman,1,"18,000","18,000",0,"18,000",0,0,0,0,0,0,"32,000",Qris Gopay,0,"32,000",,,,PWN-847393,,,,,,
01-12-2025 10:19:26,847393KMUYQL,Success,OT-374334,AYAM SERAYU - CABANG 1,Dine in,Fikri,,,SIDE003,Nasi Merah,Makanan,1,"6,000","6,000",0,"6,000",0,0,0,0,0,0,"32,000",Qris Gopay,0,"32,000",,,,PWN-847393,,,,,,
01-12-2025 10:19:26,847393KMUYQL,Success,OT-374334,AYAM SERAYU - CABANG 1,Dine in,Fikri,,,DRINK09,Kopi Hitam,Minuman,1,"8,000","8,000",0,"8,000",0,0,0,0,0,0,"32,000",Qris Gopay,0,"32,000",,,,PWN-847393,,,,,,
01-12-2025 10:23:55,HOEDSIFEXA4X,Success,OT-374333,AYAM SERAYU - PUSAT,Take Away,Budi,,,DRINK01,Es Teh Manis,Minuman,1,"6,000","6,000",0,"6,000",0,0,0,0,0,0,"87,000",GrabFood,0,"87,000",,,,PWN-HOEDSI,,,,,,
01-12-2025 10:23:55,HOEDSIFEXA4X,Success,OT-374333,AYAM SERAYU - PUSAT,Take Away,Budi,,,SNACK03,Jamur Enoki Crispy,Makanan,1,"15,000","15,000",0,"15,000",0,0,0,0,0,0,"87,000",GrabFood,0,"87,000",,,,PWN-HOEDSI,,,,,,
01-12-2025 10:23:55,HOEDSIFEXA4X,Success,OT-374333,AYAM SERAYU - PUSAT,Take Away,Budi,,,DRINK05,Air Mineral Botol,Minuman,1,"6,000","6,000",0,"6,000",0,0,0,0,0,0,"87,000",GrabFood,0,"87,000",,,,PWN-HOEDSI,,,,,,
01-12-2025 10:23:55,HOEDSIFEXA4X,Success,OT-374333,AYAM SERAYU - PUSAT,Take Away,Budi,,,FOOD005,Ayam Bakar Madu - Dada,Makanan,1,"31,000","31,000",0,"31,000",0,0,0,0,0,0,"87,000",GrabFood,0,"87,000",,,,PWN-HOEDSI,,,,,,
01-12-2025 10:23:55,HOEDSIFEXA4X,Success,OT-374333,AYAM SERAYU - PUSAT,Take Away,Budi,,,FOOD002,Ayam Goreng Serayu - Paha,Makanan,1,"29,000","29,000",0,"29,000",0,0,0,0,0,0,"87,000",GrabFood,0,"87,000",,,,PWN-HOEDSI,,,,,,
01-12-2025 10:25:03,ZHXFZGT1GFAG,Success,OT-374335,AYAM SERAYU - CABANG 2,Dine in,Siti,,Cust_813,FOOD003,Ayam Goreng Kremes - Dada,Makanan,1,"30,000","30,000",0,"30,000",0,0,0,0,0,0,"228,000",Qris ShopeePay,0,"228,000",,,,PWN-ZHXFZG,,,,,,
01-12-2025 10:25:03,ZHXFZGT1GFAG,Success,OT-374335,AYAM SERAYU - CABANG 2,Dine in,Siti,,Cust_813,FOOD004,Ayam Goreng Kremes - Paha,Makanan,1,"30,000","30,000",0,"30,000",0,0,0,0,0,0,"228,000",Qris ShopeePay,0,"228,000",,,,PWN-ZHXFZG,,,,,,
01-12-2025 10:25:03,ZHXFZGT1GFAG,Success,OT-374335,AYAM SERAYU - CABANG 2,Dine in,Siti,,Cust_813,FOOD008,Bebek Goreng - Paha,Makanan,2,"35,000","70,000",0,"70,000",0,0,0,0,0,0,"228,000",Qris ShopeePay,0,"228,000",,,,PWN-ZHXFZG,,,,,,
01-12-2025 10:25:03,ZHXFZGT1GFAG,Success,OT-374335,AYAM SERAYU - CABANG 2,Dine in,Siti,,Cust_813,DRINK05,Air Mineral Botol,Minuman,1,"6,000","6,000",0,"6,000",0,0,0,0,0,0,"228,000",Qris ShopeePay,0,"228,000",,,,PWN-ZHXFZG,,,,,,
01-12-2025 10:25:03,ZHXFZGT1GFAG,Success,OT-374335,AYAM SERAYU - CABANG 2,Dine in,Siti,,Cust_813,SNACK06,Cah Kangkung Terasi,Makanan,1,"12,000","12,000",0,"12,000",0,0,0,0,0,0,"228,000",Qris ShopeePay,0,"228,000",,,,PWN-ZHXFZG,,,,,,
01-12-2025 10:25:03,ZHXFZGT1GFAG,Success,OT-374335,AYAM SERAYU - CABANG 2,Dine in,Siti,,Cust_813,DRINK05,Air Mineral Botol,Minuman,1,"6,000","6,000",0,"6,000",0,0,0,0,0,0,"228,000",Qris ShopeePay,0,"228,000",,,,PWN-ZHXFZG,,,,,,
01-12-2025 10:25:03,ZHXFZGT1GFAG,Success,OT-374335,AYAM SERAYU - CABANG 2,Dine in,Siti,,Cust_813,SIDE002,Nasi Uduk,Makanan,2,"7,000","14,000",0,"14,000",0,0,0,0,0,0,"228,000",Qris ShopeePay,0,"228,000",,,,PWN-ZHXFZG,,,,,,
01-12-2025 10:25:03,ZHXFZGT1GFAG,Success,OT-374335,AYAM SERAYU - CABANG 2,Dine in,Siti,,Cust_813,FOOD009,Lele Goreng Crispy,Makanan,3,"20,000","60,000",0,"60,000",0,0,0,0,0,0,"228,000",Qris ShopeePay,0,"228,000",,,,PWN-ZHXFZG,,,,,,
01-12-2025 10:25:27,JNAHUSNA7KR4,Success,OT-374335,AYAM SERAYU - CABANG 2,Dine in,Fikri,,Cust_624,DRINK06,Es Kelapa Muda,Minuman,1,"12,000","12,000",0,"12,000",0,0,0,0,0,0,"41,000",Qris Gopay,0,"41,000",,,,PWN-JNAHUS,,,,,,
01-12-2025 10:25:27,JNAHUSNA7KR4,Success,OT-374335,AYAM SERAYU - CABANG 2,Dine in,Fikri,,Cust_624,FOOD001,Ayam Goreng Serayu - Dada,Makanan,1,"29,000","29,000",0,"29,000",0,0,0,0,0,0,"41,000",Qris Gopay,0,"41,000",,,,PWN-JNAHUS,,,,,,
01-12-2025 10:27:12,J7CIVHJLPSJD,Success,OT-374333,AYAM SERAYU - PUSAT,Dine in,Siti,,,FOOD005,Ayam Bakar Madu - Dada,Makanan,1,"31,000","31,000",0,"31,000",0,0,0,0,0,0,"81,000",Tunai,0,"81,000",,,,PWN-J7CIVH,,,,,,
01-12-2025 10:27:12,J7CIVHJLPSJD,Success,OT-374333,AYAM SERAYU - PUSAT,Dine in,Siti,,,SNACK03,Jamur Enoki Crispy,Makanan,1,"15,000","15,000",0,"15,000",0,0,0,0,0,0,"81,000",Tunai,0,"81,000",,,,PWN-J7CIVH,,,,,,
01-12-2025 10:27:12,J7CIVHJLPSJD,Success,OT-374333,AYAM SERAYU - PUSAT,Dine in,Siti,,,FOOD007,Bebek Goreng - Dada,Makanan,1,"35,000","35,000",0,"35,000",0,0,0,0,0,0,"81,000",Tunai,0,"81,000",,,,PWN-J7CIVH,,,,,,
01-12-2025 10:30:22,V1YH1A8C8355,Success,OT-374333,AYAM SERAYU - PUSAT,Dine in,Rina,,,DRINK02,Teh Manis Panas,Minuman,1,"6,000","6,000",0,"6,000",0,0,0,0,0,0,"37,000",Qris Gopay,0,"37,000",,,,PWN-V1YH1A,,,,,,
01-12-2025 10:30:22,V1YH1A8C8355,Success,OT-374333,AYAM SERAYU - PUSAT,Dine in,Rina,,,FOOD005,Ayam Bakar Madu - Dada,Makanan,1,"31,000","31,000",0,"31,000",0,0,0,0,0,0,"37,000",Qris Gopay,0,"37,000",,,,PWN-V1YH1A,,,,,,
01-12-2025 10:31:04,46E9EAHUX84R,Success,OT-374333,AYAM SERAYU - PUSAT,Dine in,Nabila,,Cust_163,FOOD010,Nila Goreng Terbang,Makanan,1,"25,000","25,000",0,"25,000",0,0,0,0,0,0,"73,000",Debit BCA,0,"73,000",,,,PWN-46E9EA,,,,,,
01-12-2025 10:31:04,46E9EAHUX84R,Success,OT-374333,AYAM SERAYU - PUSAT,Dine in,Nabila,,Cust_163,FOOD001,Ayam Goreng Serayu - Dada,Makanan,1,"29,000","29,000",0,"29,000",0,0,0,0,0,0,"73,000",Debit BCA,0,"73,000",,,,PWN-46E9EA,,,,,,
01-12-2025 10:31:04,46E9EAHUX84R,Success,OT-374333,AYAM SERAYU - PUSAT,Dine in,Nabila,,Cust_163,SNACK02,Usus Goreng Crispy,Makanan,1,"19,000","19,000",0,"19,000",0,0,0,0,0,0,"73,000",Debit BCA,0,"73,000",,,,PWN-46E9EA,,,,,,
01-12-2025 10:31:42,1XUJYZS6OZTF,Success,OT-374334,AYAM SERAYU - CABANG 1,Dine in,Dimas,,,SNACK09,Kerupuk Putih,Makanan,1,"2,000","2,000",0,"2,000",0,0,0,0,0,0,"54,000",Qris Gopay,0,"54,000",,,,PWN-1XUJYZ,,,,,,
01-12-2025 10:31:42,1XUJYZS6OZTF,Success,OT-374334,AYAM SERAYU - CABANG 1,Dine in,Dimas,,,FOOD009,Lele Goreng Crispy,Makanan,2,"20,000","40,000",0,"40,000",0,0,0,0,0,0,"54,000",Qris Gopay,0,"54,000",,,,PWN-1XUJYZ,,,,,,
01-12-2025 10:31:42,1XUJYZS6OZTF,Success,OT-374334,AYAM SERAYU - CABANG 1,Dine in,Dimas,,,SNACK06,Cah Kangkung Terasi,Makanan,1,"12,000","12,000",0,"12,000",0,0,0,0,0,0,"54,000",Qris Gopay,0,"54,000",,,,PWN-1XUJYZ,,,,,,
01-12-2025 10:34:24,7D1JNVDB46HR,Success,OT-374333,AYAM SERAYU - PUSAT,Take Away,Budi,,,SNACK06,Cah Kangkung Terasi,Makanan,1,"12,000","12,000",0,"12,000",0,0,0,0,0,0,"12,000",Qris ShopeePay,0,"12,000",,,,PWN-7D1JNV,,,,,,
01-12-2025 10:34:34,GS9K3BWFY5S6,Success,OT-374335,AYAM SERAYU - CABANG 2,Take Away,Budi,,,SNACK08,Sambal Dadak,Makanan,1,"4,000","4,000",0,"4,000",0,0,0,0,0,0,"20,000",Tunai,0,"20,000",,,,PWN-GS9K3B,,,,,,
01-12-2025 10:34:34,GS9K3BWFY5S6,Success,OT-374335,AYAM SERAYU - CABANG 2,Take Away,Budi,,,SNACK08,Sambal Dadak,Makanan,1,"4,000","4,000",0,"4,000",0,0,0,0,0,0,"20,000",Tunai,0,"20,000",,,,PWN-GS9K3B,,,,,,
01-12-2025 10:34:34,GS9K3BWFY5S6,Success,OT-374335,AYAM SERAYU - CABANG 2,Take Away,Budi,,,DRINK10,Es Kopi Susu,Minuman,1,"12,000","12,000",0,"12,000",0,0,0,0,0,0,"20,000",Tunai,0,"20,000",,,,PWN-GS9K3B,,,,,,
01-12-2025 10:35:59,DHKMJI5QH0XY,Success,OT-374334,AYAM SERAYU - CABANG 1,Dine in,Dimas,,,DRINK06,Es Kelapa Muda,Minuman,3,"12,000","36,000",0,"36,000",0,0,0,0,0,0,"38,000",Tunai,0,"38,000",,,,PWN-DHKMJI,,,,,,
01-12-2025 10:35:59,DHKMJI5QH0XY,Success,OT-374334,AYAM SERAYU - CABANG 1,Dine in,Dimas,,,SNACK09,Kerupuk Putih,Makanan,1,"2,000","2,000",0,"2,000",0,0,0,0,0,0,"38,000",Tunai,0,"38,000",,,,PWN-DHKMJI,,,,,,
01-12-2025 10:39:33,EV2VFS30BX99,Success,OT-374335,AYAM SERAYU - CABANG 2,Dine in,Budi,,,SNACK02,Usus Goreng Crispy,Makanan,1,"19,000","19,000",0,"19,000",0,0,0,0,0,0,"45,000",Tunai,0,"45,000",,,,PWN-EV2VFS,,,,,,
01-12-2025 10:39:33,EV2VFS30BX99,Success,OT-374335,AYAM SERAYU - CABANG 2,Dine in,Budi,,,FOOD009,Lele Goreng Crispy,Makanan,1,"20,000","20,000",0,"20,000",0,0,0,0,0,0,"45,000",Tunai,0,"45,000",,,,PWN-EV2VFS,,,,,,
01-12-2025 10:39:33,EV2VFS30BX99,Success,OT-374335,AYAM SERAYU - CABANG 2,Dine in,Budi,,,SNACK04,Tahu Goreng,Makanan,2,"3,000","6,000",0,"6,000",0,0,0,0,0,0,"45,000",Tunai,0,"45,000",,,,PWN-EV2VFS,,,,,,
01-12-2025 10:40:49,EUBTRPIFSN09,Success,OT-374334,AYAM SERAYU - CABANG 1,Dine in,Rina,,Cust_380,SNACK01,Kulit Ayam Cabe Garam,Makanan,1,"19,000","19,000",0,"19,000",0,0,0,0,0,0,"31,000",Qris Gopay,0,"31,000",,,,PWN-EUBTRP,,,,,,
01-12-2025 10:40:49,EUBTRPIFSN09,Success,OT-374334,AYAM SERAYU - CABANG 1,Dine in,Rina,,Cust_380,DRINK06,Es Kelapa Muda,Minuman,1,"12,000","12,000",0,"12,000",0,0,0,0,0,0,"31,000",Qris Gopay,0,"31,000",,,,PWN-EUBTRP,,,,,,
01-12-2025 10:42:01,RAZ8LKRI90JZ,Success,OT-374333,AYAM SERAYU - PUSAT,Take Away,Dimas,,,FOOD003,Ayam Goreng Kremes - Dada,Makanan,1,"30,000","30,000",0,"30,000",0,0,0,0,0,0,"98,000",GoFood,0,"98,000",,,,PWN-RAZ8LK,,,,,,
01-12-2025 10:42:01,RAZ8LKRI90JZ,Success,OT-374333,AYAM SERAYU - PUSAT,Take Away,Dimas,,,SNACK04,Tahu Goreng,Makanan,1,"3,000","3,000",0,"3,000",0,0,0,0,0,0,"98,000",GoFood,0,"98,000",,,,PWN-RAZ8LK,,,,,,
01-12-2025 10:42:01,RAZ8LKRI90JZ,Success,OT-374333,AYAM SERAYU - PUSAT,Take Away,Dimas,,,DRINK04,Jeruk Panas,Minuman,1,"10,000","10,000",0,"10,000",0,0,0,0,0,0,"98,000",GoFood,0,"98,000",,,,PWN-RAZ8LK,,,,,,
01-12-2025 10:42:01,RAZ8LKRI90JZ,Success,OT-374333,AYAM SERAYU - PUSAT,Take Away,Dimas,,,FOOD009,Lele Goreng Crispy,Makanan,1,"20,000","20,000",0,"20,000",0,0,0,0,0,0,"98,000",GoFood,0,"98,000",,,,PWN-RAZ8LK,,,,,,
01-12-2025 10:42:01,RAZ8LKRI90JZ,Success,OT-374333,AYAM SERAYU - PUSAT,Take Away,Dimas,,,DRINK03,Es Jeruk Peras,Minuman,1,"10,000","10,000",0,"10,000",0,0,0,0,0,0,"98,000",GoFood,0,"98,000",,,,PWN-RAZ8LK,,,,,,
01-12-2025 10:42:01,RAZ8LKRI90JZ,Success,OT-374333,AYAM SERAYU - PUSAT,Take Away,Dimas,,,FOOD010,Nila Goreng Terbang,Makanan,1,"25,000","25,000",0,"25,000",0,0,0,0,0,0,"98,000",GoFood,0,"98,000",,,,PWN-RAZ8LK,,,,,,
01-12-2025 10:42:39,46GONSA99BTY,Success,OT-374334,AYAM SERAYU - CABANG 1,Take Away,Dimas,,,DRINK04,Jeruk Panas,Minuman,1,"10,000","10,000",0,"10,000",0,0,0,0,0,0,"99,000",Qris Gopay,0,"99,000",,,,PWN-46GONS,,,,,,
